Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/20/2026 21:45:46,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
07/20/2026 21:45:46,System.Runtime,dotnet.assembly.count ({assembly}),Metric,105
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.process.memory.working_set (By),Metric,427159552
07/20/2026 21:45:47,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,29161
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
07/20/2026 21:45:47,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.1468007
07/20/2026 21:45:47,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,248
07/20/2026 21:45:47,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 21:45:47,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,5100273664
07/20/2026 21:45:47,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,0
07/20/2026 21:45:47,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 21:45:47,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
07/20/2026 21:45:47,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,29
07/20/2026 21:45:47,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,268
07/20/2026 21:45:47,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/20/2026 21:45:47,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
07/20/2026 21:45:47,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,13.25
07/20/2026 21:45:47,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.21875
07/20/2026 21:45:47,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
07/20/2026 21:45:47,System.Runtime,dotnet.assembly.count ({assembly}),Metric,105
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.process.memory.working_set (By),Metric,428195840
07/20/2026 21:45:48,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,17094
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
07/20/2026 21:45:48,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0919835
07/20/2026 21:45:48,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,167
07/20/2026 21:45:48,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 21:45:48,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,5100273664
07/20/2026 21:45:48,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,0
07/20/2026 21:45:48,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 21:45:48,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
07/20/2026 21:45:48,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,30
07/20/2026 21:45:48,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,278
07/20/2026 21:45:48,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/20/2026 21:45:48,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
07/20/2026 21:45:48,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,13.53125
